id,category,name,color_source,size,file
1,Elixir,Barbarian,"recreated (wiki art, face-zoom)",256x320,elixir_01_barbarian.png
2,Elixir,Archer,extracted (event screenshot),256x320,elixir_02_archer.png
3,Elixir,Giant,extracted (event screenshot),256x320,elixir_03_giant.png
4,Elixir,Goblin,extracted (event screenshot),256x320,elixir_04_goblin.png
5,Elixir,Wall Breaker,"recreated (wiki art, face-zoom)",256x320,elixir_05_wall_breaker.png
6,Elixir,Balloon,"recreated (wiki art, face-zoom)",256x320,elixir_06_balloon.png
7,Elixir,Wizard,"recreated (wiki art, face-zoom)",256x320,elixir_07_wizard.png
8,Elixir,Healer,extracted (event screenshot),256x320,elixir_08_healer.png
9,Elixir,Dragon,extracted (event screenshot),256x320,elixir_09_dragon.png
10,Elixir,P.E.K.K.A,"recreated (wiki art, face-zoom)",256x320,elixir_10_pekka.png
11,Elixir,Baby Dragon,extracted (event screenshot),256x320,elixir_11_baby_dragon.png
12,Elixir,Miner,extracted (event screenshot),256x320,elixir_12_miner.png
13,Elixir,Electro Dragon,extracted (event screenshot),256x320,elixir_13_electro_dragon.png
14,Elixir,Yeti,extracted (event screenshot),256x320,elixir_14_yeti.png
15,Elixir,Dragon Rider,extracted (event screenshot),256x320,elixir_15_dragon_rider.png
16,Elixir,Electro Titan,extracted (event screenshot),256x320,elixir_16_electro_titan.png
17,Elixir,Root Rider,extracted (event screenshot),256x320,elixir_17_root_rider.png
18,Elixir,Thrower,extracted (event screenshot),256x320,elixir_18_thrower.png
19,Elixir,Meteor Golem,"recreated (wiki art, face-zoom)",256x320,elixir_19_meteor_golem.png
20,Dark Elixir,Minion,extracted (event screenshot),256x320,dark_elixir_20_minion.png
21,Dark Elixir,Hog Rider,extracted (event screenshot),256x320,dark_elixir_21_hog_rider.png
22,Dark Elixir,Valkyrie,"recreated (wiki art, face-zoom)",256x320,dark_elixir_22_valkyrie.png
23,Dark Elixir,Golem,"recreated (wiki art, face-zoom)",256x320,dark_elixir_23_golem.png
24,Dark Elixir,Witch,extracted (event screenshot),256x320,dark_elixir_24_witch.png
25,Dark Elixir,Lava Hound,"recreated (wiki art, face-zoom)",256x320,dark_elixir_25_lava_hound.png
26,Dark Elixir,Bowler,"recreated (wiki art, face-zoom)",256x320,dark_elixir_26_bowler.png
